Zeitliche_Frequenz_Idx,Zeitliche_Frequenz,Aufenthaltsland_Idx,Aufenthaltsland,Maßeinheit_Idx,Maßeinheit,NACEr2_Idx,NACEr2,Geopolitische_Meldeeinheit_Idx,Geopolitische_Meldeeinheit,JahrMonat,value
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2012-01,11022604.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2012-02,11916641.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2012-03,14018007.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2012-04,15472920.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2012-05,18319333.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2012-06,18486480.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2012-07,19202249.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2012-08,20631875.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2012-09,20677647.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2012-10,18473660.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2012-11,13687385.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2012-12,13048683.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2013-01,11115403.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2013-02,11879065.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2013-03,14435053.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2013-04,14772131.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2013-05,18641212.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2013-06,18452404.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2013-07,19788757.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2013-08,21156478.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2013-09,20286746.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2013-10,19138829.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2013-11,14074469.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2013-12,13127938.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2014-01,11248641.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2014-02,11942593.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2014-03,14386635.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2014-04,15631416.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2014-05,19281358.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2014-06,19038903.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2014-07,19574882.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2014-08,21892529.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2014-09,20827544.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2014-10,19988421.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2014-11,14527945.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2014-12,13797418.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2015-01,11556578.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2015-02,12661791.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2015-03,14900948.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2015-04,15964041.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2015-05,19746072.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2015-06,19781740.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2015-07,20464287.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2015-08,22110010.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2015-09,21225480.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2015-10,20110010.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2015-11,15011587.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2015-12,14080853.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2016-01,11974553.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2016-02,13348057.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2016-03,15954005.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2016-04,16409783.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2016-05,20169380.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2016-06,19696533.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2016-07,21179036.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2016-08,22157488.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2016-09,21927299.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2016-10,20972414.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2016-11,15394859.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2016-12,14552608.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2017-01,12583848.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2017-02,13099783.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2017-03,16042495.0
M,Monatlich,DOM,Inland,NR,Anzahl,I551,"Hotels, Gasthöfe und Pensionen",DE,Deutschland,2017-04,17837487.0
